MCTSAgent,HighestAgent 1,HighestAgent 2,HighestAgent 3
1,13,12,0
0,7,14,5
3,23,0,0
6,0,20,0
7,13,0,6
5,13,7,1
0,13,11,2
0,0,13,13
1,7,4,14
1,17,8,0
4,7,15,0
3,10,13,0
14,0,3,9
0,22,3,1
3,0,15,8
0,26,0,0
1,21,0,4
4,22,0,0
0,0,8,18
0,15,11,0
0,0,8,18
0,0,13,13
1,25,0,0
1,6,6,13
5,16,5,0
0,0,25,1
0,0,26,0
4,0,8,14
0,0,25,1
9,4,0,13
0,0,8,18
0,8,17,1
0,9,13,4
4,4,4,14
0,0,0,26
0,0,13,13
2,14,7,3
3,10,13,0
0,4,22,0
0,0,0,26
0,1,13,12
0,10,13,3
0,0,12,14
5,8,13,0
9,13,4,0
0,9,17,0
0,8,17,1
1,0,0,25
1,4,0,21
0,23,0,3
0,0,12,14
0,13,11,2
2,18,2,4
0,0,2,24
0,13,13,0
0,8,2,16
0,1,21,4
0,18,4,4
6,0,20,0
1,23,2,0
1,18,4,3
0,5,0,21
2,0,13,11
0,13,6,7
0,16,0,10
4,21,1,0
0,4,9,13
5,0,0,21
3,1,8,14
0,2,0,24
0,11,15,0
9,4,13,0
5,18,3,0
5,13,7,1
2,4,13,7
0,0,26,0
0,15,11,0
1,4,7,14
7,1,14,4
2,0,7,17
0,0,26,0
22,0,4,0
0,21,5,0
0,0,26,0
0,0,4,22
0,0,19,7
5,0,20,1
0,0,0,26
1,0,25,0
4,20,1,1
2,0,11,13
3,7,13,3
1,6,18,1
5,1,14,6
1,0,13,12
1,18,0,7
12,0,14,0
4,0,18,4
0,8,4,14
1,13,8,4
0,0,20,6
0,13,0,13
0,1,21,4
13,0,13,0
13,0,0,13
1,25,0,0
5,3,14,4
5,13,0,8
3,23,0,0
4,0,22,0
0,0,11,15
0,13,4,9
2,24,0,0
3,0,23,0
1,0,13,12
0,0,21,5
1,0,14,11
0,21,4,1
5,17,1,3
0,0,11,15
1,0,13,12
0,14,11,1
14,4,4,4
0,0,8,18
0,3,3,20
0,0,4,22
0,0,13,13
1,14,0,11
15,7,4,0
0,3,0,23
2,0,24,0
8,0,3,15
0,0,26,0
0,0,16,10
0,1,13,12
0,25,0,1
0,0,15,11
4,21,1,0
1,0,0,25
3,0,5,18
1,0,17,8
12,14,0,0
1,21,4,0
6,5,15,0
0,14,12,0
4,6,16,0
1,12,0,13
0,0,0,26
6,17,0,3
0,3,4,19
4,0,22,0
0,16,0,10
0,3,4,19
18,0,8,0
5,4,17,0
1,23,2,0
0,1,12,13
0,13,0,13
1,7,18,0
0,3,1,22
0,8,14,4
1,11,13,1
2,2,0,22
1,3,14,8
4,14,2,6
1,14,1,10
0,0,17,9
0,7,17,2
5,1,20,0
0,24,2,0
0,0,13,13
0,5,20,1
0,0,0,26
4,15,7,0
8,0,18,0
1,18,7,0
1,18,7,0
0,10,15,1
2,13,11,0
3,16,7,0
13,5,0,8
0,13,0,13
2,20,0,4
6,15,1,4
3,4,18,1
2,11,0,13
3,9,0,14
0,13,13,0
1,9,13,3
2,10,0,14
0,23,0,3
4,19,0,3
2,13,11,0
13,3,0,10
16,0,1,9
0,14,3,9
0,21,1,4
1,25,0,0
21,0,1,4
0,4,0,22
5,13,0,8
0,16,0,10
13,13,0,0
1,5,3,17
0,14,11,1
0,4,21,1
0,15,3,8
4,0,4,18
3,6,17,0
0,5,1,20
8,13,5,0
4,0,2,20
2,18,6,0
3,0,7,16
3,1,5,17
0,4,8,14
4,19,0,3
0,0,10,16
0,0,26,0
0,14,12,0
0,13,13,0
1,0,25,0
2,14,10,0
0,18,0,8
0,0,12,14
0,0,20,6
1,10,14,1
0,18,5,3
4,21,0,1
0,13,0,13
6,0,15,5
4,0,17,5
1,15,0,10
1,13,0,12
3,3,7,13
1,19,0,6
0,6,14,6
0,2,0,24
0,7,15,4
4,0,13,9
1,12,13,0
2,10,0,14
0,4,3,19
0,14,1,11
0,24,0,2
5,0,21,0
0,17,9,0
0,4,13,9
0,1,13,12
1,4,16,5
0,25,1,0
3,23,0,0
19,7,0,0
1,5,5,15
1,21,0,4
8,0,18,0
0,5,0,21
4,3,15,4
4,20,2,0
0,10,1,15
2,0,13,11
0,9,17,0
4,0,5,17
1,25,0,0
4,3,6,13
5,15,0,6
1,25,0,0
1,17,7,1
0,0,5,21
0,23,0,3
1,18,5,2
3,1,22,0
2,7,0,17
5,0,1,20
8,18,0,0
0,12,14,0
7,15,4,0
8,3,0,15
3,9,14,0
4,2,0,20
1,1,7,17
0,5,21,0
0,8,3,15
0,15,4,7
5,0,14,7
0,20,6,0
1,0,0,25
0,4,22,0
0,12,14,0
5,19,2,0
6,13,7,0
0,21,2,3
1,4,13,8
0,5,0,21
0,0,0,26
2,14,0,10
0,5,1,20
5,5,16,0
0,21,1,4
5,14,7,0
5,15,6,0
2,13,0,11
7,4,15,0
1,0,12,13
0,21,5,0
0,4,13,9
2,3,3,18
0,7,1,18
0,24,2,0
4,0,18,4
2,10,1,13
0,6,7,13
4,17,1,4
16,1,9,0
8,13,0,5
1,0,18,7
8,18,0,0
4,21,1,0
0,18,8,0
17,0,8,1
4,8,1,13
1,4,13,8
1,25,0,0
5,17,4,0
5,14,0,7
0,3,17,6
13,0,3,10
4,0,13,9
17,9,0,0
0,0,0,26
0,0,12,14
4,13,0,9
0,17,5,4
0,25,0,1
0,0,18,8
1,7,1,17
4,2,20,0
2,16,8,0
0,0,3,23
0,0,12,14
0,2,14,10
8,18,0,0
0,7,17,2
1,22,0,3
0,8,18,0
3,8,13,2
0,24,2,0
1,10,15,0
4,0,17,5
5,18,3,0
8,0,5,13
7,4,0,15
0,13,12,1
4,4,5,13
1,1,11,13
0,23,2,1
5,13,8,0
1,0,7,18
2,14,0,10
4,5,17,0
17,5,4,0
0,16,10,0
1,1,24,0
0,8,18,0
2,8,2,14
0,6,4,16
1,7,14,4
0,3,0,23
13,12,0,1
0,14,11,1
6,13,1,6
4,2,7,13
1,13,12,0
5,3,14,4
0,3,1,22
0,13,0,13
0,13,1,12
0,7,5,14
0,15,7,4
0,1,13,12
2,0,0,24
4,8,14,0
0,0,0,26
1,0,8,17
2,0,21,3
0,0,7,19
0,13,13,0
0,11,0,15
18,4,0,4
1,17,0,8
0,0,26,0
24,0,2,0
5,3,13,5
0,6,14,6
0,15,0,11
2,8,16,0
1,11,0,14
3,23,0,0
1,6,0,19
2,0,8,16
1,13,11,1
1,21,4,0
5,0,13,8
0,1,25,0
9,0,4,13
0,15,0,11
0,0,25,1
4,3,13,6
5,8,13,0
1,19,6,0
0,7,0,19
18,7,1,0
0,5,5,16
3,0,1,22
8,0,5,13
0,1,16,9
0,7,5,14
0,1,11,14
4,18,4,0
3,8,0,15
0,2,1,23
0,4,6,16
7,0,5,14
0,20,4,2
0,1,25,0
1,9,0,16
13,3,10,0
0,24,2,0
0,0,13,13
0,0,24,2
0,17,1,8
4,13,6,3
17,9,0,0
0,7,0,19
6,0,17,3
19,7,0,0
0,10,1,15
5,21,0,0
0,13,6,7
0,0,26,0
5,1,14,6
16,0,5,5
0,7,0,19
17,7,1,1
0,1,20,5
1,8,13,4
0,0,18,8
2,22,1,1
0,3,0,23
0,7,19,0
0,26,0,0
5,4,14,3
2,0,19,5
2,0,13,11
2,3,2,19
7,3,13,3
5,0,4,17
0,25,1,0
1,0,13,12
2,10,13,1
1,0,20,5
2,1,0,23
2,5,19,0
7,0,0,19
0,0,0,26
0,6,20,0
1,8,13,4
0,25,1,0
0,0,20,6
0,13,0,13
0,1,17,8
0,5,17,4
0,16,3,7
12,0,1,13
0,13,12,1
1,0,3,22
8,5,13,0
6,15,0,5
0,9,17,0
15,4,1,6
0,0,18,8
1,10,0,15
6,4,0,16
9,0,3,14
0,13,0,13
0,14,5,7
7,13,0,6
0,21,5,0
4,15,1,6
0,19,7,0
3,21,2,0
0,5,7,14
0,14,12,0
4,22,0,0
0,5,0,21
1,4,13,8
0,10,3,13
0,0,17,9
0,0,26,0
8,0,18,0
0,0,26,0
16,4,6,0
0,18,4,4
0,22,4,0
2,13,11,0
1,4,19,2
3,17,2,4
1,13,4,8
5,0,6,15
0,0,14,12
0,10,1,15
5,0,0,21
4,6,14,2
9,17,0,0
5,0,14,7
0,0,4,22
8,0,1,17
0,8,16,2
3,4,2,17
11,15,0,0
14,3,9,0
0,0,23,3
3,22,1,0
5,0,21,0
5,0,17,4
0,7,6,13
1,5,2,18
4,13,9,0
4,3,15,4
0,0,14,12
4,17,0,5
0,19,7,0
4,17,2,3
5,0,4,17
0,2,0,24
4,0,0,22
2,23,0,1
0,15,11,0
6,1,19,0
0,0,15,11
0,13,0,13
1,13,8,4
0,0,26,0
0,0,2,24
4,0,13,9
0,22,4,0
1,17,3,5
0,5,14,7
3,2,8,13
0,14,12,0
2,10,14,0
8,17,0,1
1,11,1,13
2,13,5,6
5,1,4,16
3,14,9,0
1,12,0,13
0,1,3,22
3,4,4,15
0,3,15,8
0,13,0,13
7,13,4,2
0,2,4,20
0,13,0,13
0,12,0,14
0,13,8,5
