MCTSAgent_Smart,SmartAgent 1,SmartAgent 2,SmartAgent 3
18,0,7,1
17,0,3,6
0,1,2,23
6,14,3,3
1,9,16,0
5,5,15,1
4,17,0,5
15,1,4,6
4,0,1,21
23,1,2,0
4,1,8,13
5,7,0,14
5,4,17,0
3,15,4,4
0,2,5,19
8,4,0,14
0,0,1,25
2,4,16,4
6,14,1,5
19,4,0,3
6,1,19,0
15,11,0,0
0,22,0,4
1,8,13,4
3,2,21,0
24,0,1,1
0,24,0,2
16,6,4,0
0,10,0,16
5,5,3,13
5,3,14,4
1,13,2,10
16,7,3,0
0,1,3,22
20,6,0,0
5,0,4,17
4,0,19,3
4,14,7,1
7,18,0,1
15,6,0,5
5,0,21,0
0,13,13,0
3,4,0,19
4,1,21,0
4,14,2,6
0,25,0,1
16,0,0,10
14,8,3,1
0,23,1,2
6,0,4,16
2,0,13,11
0,20,6,0
12,0,1,13
8,0,0,18
21,0,1,4
5,3,1,17
19,2,1,4
15,2,9,0
18,1,6,1
6,16,0,4
1,15,10,0
9,0,13,4
3,0,6,17
18,1,6,1
21,0,1,4
8,1,3,14
4,18,4,0
7,0,19,0
7,13,6,0
8,1,17,0
1,14,9,2
4,2,16,4
0,14,7,5
1,1,0,24
15,7,3,1
0,0,6,20
4,17,3,2
4,8,0,14
1,13,3,9
23,0,3,0
1,4,0,21
4,0,4,18
0,14,9,3
17,0,2,7
4,14,2,6
5,0,21,0
14,8,4,0
0,1,8,17
2,0,17,7
2,0,5,19
2,4,3,17
1,2,16,7
2,3,4,17
4,5,4,13
4,0,13,9
17,1,3,5
8,1,15,2
9,14,1,2
0,0,25,1
4,7,13,2
0,2,23,1
0,11,0,15
10,14,0,2
22,1,1,2
7,14,4,1
1,1,15,9
6,1,4,15
10,1,14,1
5,4,3,14
18,0,2,6
19,6,0,1
5,6,0,15
1,2,16,7
15,0,10,1
1,7,14,4
0,12,0,14
20,0,1,5
1,12,13,0
5,17,4,0
0,13,12,1
10,0,0,16
0,18,0,8
6,0,15,5
0,0,8,18
0,3,8,15
4,3,19,0
4,17,4,1
1,0,4,21
24,1,0,1
20,3,0,3
1,3,22,0
0,1,17,8
0,25,0,1
23,0,2,1
4,0,3,19
17,4,3,2
10,13,0,3
5,19,2,0
0,3,23,0
2,0,21,3
14,4,8,0
0,2,20,4
9,17,0,0
18,0,0,8
2,3,8,13
10,0,14,2
3,3,13,7
4,14,8,0
0,2,10,14
7,16,3,0
8,1,0,17
5,0,0,21
5,0,20,1
6,0,20,0
24,0,1,1
0,4,19,3
8,13,1,4
9,0,13,4
2,0,9,15
5,2,19,0
14,0,8,4
10,0,0,16
11,14,0,1
18,4,0,4
4,0,8,14
8,1,17,0
9,0,17,0
5,0,15,6
19,4,0,3
15,0,1,10
5,0,8,13
5,0,21,0
0,19,5,2
6,3,0,17
5,0,8,13
14,1,5,6
14,0,12,0
0,0,7,19
4,0,22,0
4,9,0,13
0,5,5,16
3,0,7,16
4,0,5,17
4,4,0,18
14,11,1,0
15,4,0,7
8,4,1,13
1,5,7,13
0,9,4,13
6,0,20,0
0,16,10,0
1,13,8,4
2,5,19,0
0,5,17,4
