MCTSAgent_Smart,SmartAgent 1,SmartAgent 2,SmartAgent 3
1,20,4,1
5,4,17,0
0,18,0,8
4,0,9,13
19,7,0,0
0,4,20,2
0,2,4,20
4,1,6,15
14,2,0,10
1,20,1,4
0,22,0,4
4,0,14,8
6,3,0,17
5,19,0,2
0,2,0,24
4,0,0,22
0,7,19,0
0,1,10,15
1,20,4,1
4,0,0,22
0,1,6,19
2,3,0,21
21,1,4,0
0,5,1,20
0,0,1,25
0,6,7,13
0,3,18,5
2,21,3,0
1,0,24,1
21,0,0,5
0,17,7,2
0,0,10,16
0,25,0,1
0,18,2,6
7,6,13,0
0,9,13,4
15,10,1,0
0,19,7,0
5,16,2,3
12,14,0,0
8,13,1,4
0,7,4,15
2,0,15,9
5,4,0,17
14,1,11,0
0,11,0,15
0,1,4,21
0,15,0,11
0,0,4,22
5,20,1,0
1,4,14,7
3,2,20,1
5,0,2,19
1,6,1,18
1,10,0,15
0,1,24,1
0,23,1,2
10,3,0,13
3,7,0,16
3,16,5,2
18,1,7,0
5,5,14,2
0,13,13,0
18,1,6,1
22,0,0,4
2,0,4,20
3,0,14,9
1,16,6,3
5,0,21,0
5,21,0,0
0,3,21,2
17,4,5,0
0,19,2,5
4,14,2,6
21,0,2,3
0,4,3,19
15,4,5,2
5,4,0,17
0,1,8,17
1,18,3,4
21,3,2,0
11,13,2,0
0,11,15,0
6,14,2,4
10,13,2,1
8,13,3,2
12,0,0,14
22,0,0,4
0,0,2,24
0,14,5,7
4,3,15,4
3,4,6,13
4,13,4,5
23,0,3,0
17,4,5,0
0,5,21,0
5,0,4,17
4,2,3,17
0,6,1,19
1,24,0,1
13,6,0,7
1,16,8,1
6,14,2,4
4,4,2,16
5,0,15,6
5,2,15,4
4,0,22,0
0,14,1,11
8,15,0,3
11,0,14,1
4,2,17,3
20,0,1,5
3,23,0,0
0,6,15,5
1,5,0,20
16,9,0,1
5,0,5,16
0,0,0,26
15,7,2,2
4,1,15,6
7,15,3,1
10,2,0,14
8,16,0,2
0,8,18,0
4,0,19,3
0,0,6,20
3,0,22,1
4,4,2,16
1,24,0,1
7,14,5,0
0,7,3,16
3,14,5,4
1,5,17,3
0,4,14,8
9,16,1,0
14,2,2,8
3,6,17,0
1,18,1,6
0,21,5,0
15,0,8,3
13,4,9,0
13,0,0,13
0,0,0,26
2,13,3,8
19,4,0,3
0,17,8,1
0,8,13,5
0,3,19,4
8,0,1,17
1,17,7,1
0,0,12,14
23,3,0,0
4,0,0,22
1,6,18,1
9,0,1,16
7,1,13,5
4,1,21,0
2,13,7,4
4,4,13,5
21,1,1,3
0,11,0,15
11,0,0,15
11,13,1,1
14,5,3,4
13,0,5,8
0,25,0,1
18,1,7,0
7,18,1,0
4,18,0,4
0,7,1,18
5,0,8,13
0,5,14,7
5,0,13,8
25,0,0,1
4,0,1,21
14,6,2,4
8,1,4,13
21,4,1,0
16,4,1,5
0,4,14,8
0,6,17,3
1,7,1,17
4,0,19,3
1,4,0,21
4,0,4,18
0,4,20,2
0,24,0,2
4,21,1,0
8,0,13,5
4,15,7,0
6,2,17,1
16,4,6,0
5,4,2,15
3,7,2,14
1,23,0,2
0,0,0,26
2,0,14,10
18,2,0,6
6,6,14,0
1,0,1,24
0,4,0,22
6,20,0,0
0,20,4,2
2,0,2,22
0,1,3,22
4,20,0,2
0,1,21,4
4,1,4,17
7,1,17,1
6,18,2,0
1,16,4,5
0,8,17,1
0,7,0,19
19,4,0,3
0,1,25,0
9,0,1,16
20,0,2,4
4,21,1,0
0,2,2,22
5,1,19,1
14,3,6,3
20,1,3,2
0,0,5,21
14,4,1,7
17,5,2,2
9,13,0,4
0,2,11,13
1,21,4,0
4,2,16,4
5,17,4,0
5,0,20,1
12,0,0,14
5,0,4,17
0,14,5,7
3,2,21,0
19,3,4,0
0,0,2,24
16,0,4,6
1,16,9,0
24,1,0,1
14,12,0,0
2,16,6,2
6,3,13,4
21,0,0,5
0,0,7,19
8,0,17,1
2,5,0,19
0,13,0,13
2,4,5,15
2,5,0,19
2,4,0,20
3,3,4,16
17,2,7,0
20,0,5,1
4,0,9,13
0,0,21,5
0,16,9,1
9,16,0,1
6,15,5,0
16,4,6,0
17,8,0,1
7,15,4,0
4,3,18,1
1,4,17,4
4,2,19,1
7,13,2,4
4,0,1,21
4,14,3,5
21,2,3,0
4,3,5,14
5,4,13,4
4,3,18,1
6,5,0,15
8,1,16,1
2,6,18,0
0,16,5,5
10,14,0,2
5,19,2,0
0,2,11,13
4,22,0,0
0,0,25,1
1,0,25,0
1,0,18,7
0,0,4,22
19,0,3,4
15,3,5,3
10,0,3,13
0,0,0,26
0,0,1,25
17,2,7,0
8,0,0,18
0,1,6,19
0,22,0,4
9,0,13,4
4,0,1,21
8,5,13,0
0,0,19,7
3,18,0,5
19,2,1,4
4,1,14,7
2,7,17,0
1,18,4,3
0,5,4,17
9,13,0,4
0,5,21,0
19,3,4,0
2,13,1,10
19,0,6,1
18,8,0,0
0,22,4,0
13,0,0,13
5,4,16,1
21,4,1,0
6,3,13,4
0,13,13,0
4,22,0,0
7,1,17,1
6,5,1,14
4,15,4,3
18,1,1,6
0,25,0,1
6,16,4,0
4,5,2,15
6,13,1,6
0,5,0,21
18,1,3,4
3,1,8,14
19,4,2,1
9,0,13,4
0,14,1,11
21,0,1,4
6,2,14,4
3,13,2,8
6,4,16,0
0,7,5,14
8,0,13,5
6,0,1,19
0,5,15,6
3,4,18,1
0,18,4,4
4,16,4,2
1,14,5,6
4,14,5,3
16,0,6,4
7,17,0,2
17,4,5,0
1,3,8,14
17,6,0,3
5,0,18,3
9,0,17,0
5,0,21,0
5,0,14,7
5,5,13,3
0,5,21,0
7,14,0,5
6,17,0,3
4,4,17,1
0,19,2,5
14,0,12,0
0,1,18,7
0,4,4,18
3,4,19,0
0,2,20,4
4,22,0,0
24,0,2,0
20,6,0,0
13,5,4,4
20,4,0,2
0,4,14,8
1,18,3,4
3,4,17,2
5,0,1,20
6,17,2,1
19,1,1,5
14,3,4,5
17,1,7,1
0,2,6,18
3,21,0,2
6,2,18,0
1,1,0,24
7,1,2,16
22,1,0,3
6,0,16,4
4,6,13,3
4,15,3,4
6,0,13,7
16,0,1,9
2,0,13,11
5,1,5,15
5,4,17,0
1,2,13,10
0,22,4,0
10,3,13,0
9,17,0,0
7,5,0,14
19,2,4,1
0,21,1,4
5,1,3,17
5,15,6,0
17,9,0,0
7,0,14,5
0,0,8,18
6,16,0,4
15,6,4,1
4,2,5,15
4,21,0,1
1,23,2,0
0,0,13,13
18,3,0,5
0,7,16,3
10,13,0,3
15,6,0,5
16,7,2,1
11,14,0,1
0,22,0,4
5,1,13,7
8,0,17,1
18,1,5,2
7,0,6,13
1,4,0,21
13,0,13,0
3,0,23,0
14,3,0,9
0,5,8,13
0,8,13,5
7,0,1,18
8,17,1,0
23,3,0,0
1,13,6,6
2,4,0,20
1,14,7,4
21,0,3,2
4,3,6,13
18,0,1,7
7,18,0,1
3,0,19,4
21,4,0,1
14,4,4,4
6,4,3,13
11,0,13,2
0,1,23,2
5,4,13,4
25,1,0,0
2,11,0,13
3,18,4,1
17,0,5,4
16,2,0,8
4,16,6,0
3,3,16,4
0,22,0,4
0,0,9,17
13,7,1,5
7,4,0,15
0,0,14,12
17,0,8,1
14,4,7,1
3,18,5,0
6,0,18,2
0,0,8,18
0,16,4,6
20,1,0,5
0,2,16,8
15,0,2,9
9,2,13,2
4,2,7,13
3,6,3,14
