MCTSAgent_Smart,SmartAgent 1,SmartAgent 2,SmartAgent 3
6,19,1,0
4,16,5,1
1,13,4,8
4,0,0,22
1,23,2,0
7,2,1,16
11,13,2,0
4,17,1,4
0,5,17,4
4,5,13,4
5,15,2,4
5,15,6,0
0,17,0,9
19,0,4,3
2,19,4,1
4,0,21,1
5,4,16,1
6,1,3,16
2,5,0,19
4,4,0,18
9,0,1,16
0,9,17,0
4,5,2,15
3,1,4,18
19,7,0,0
8,5,13,0
0,3,3,20
7,6,0,13
1,14,0,11
0,12,13,1
18,4,4,0
4,0,9,13
1,0,22,3
11,2,0,13
15,4,0,7
0,0,4,22
25,0,0,1
2,15,9,0
4,2,4,16
3,5,15,3
0,0,4,22
5,1,17,3
11,13,0,2
1,5,17,3
8,1,17,0
5,3,0,18
2,1,23,0
6,19,0,1
1,18,5,2
2,1,3,20
0,10,15,1
2,0,20,4
23,0,0,3
23,0,2,1
2,5,19,0
5,6,13,2
15,8,3,0
4,6,15,1
14,10,0,2
7,2,17,0
4,3,18,1
3,8,0,15
4,0,5,17
5,4,3,14
5,1,4,16
0,10,1,15
13,5,8,0
0,21,4,1
4,4,4,14
4,0,22,0
4,20,2,0
0,21,1,4
4,0,5,17
4,5,17,0
0,0,20,6
14,8,0,4
20,1,3,2
4,16,4,2
6,2,1,17
2,2,0,22
21,2,0,3
18,0,1,7
2,20,0,4
7,19,0,0
23,1,0,2
6,0,20,0
0,4,17,5
1,9,2,14
0,1,18,7
3,4,13,6
8,2,16,0
18,0,8,0
0,0,26,0
2,13,5,6
6,14,0,6
1,13,11,1
0,6,20,0
19,4,3,0
15,6,3,2
22,4,0,0
0,18,4,4
3,13,0,10
4,0,5,17
2,13,0,11
1,1,22,2
0,0,18,8
4,14,8,0
8,2,15,1
4,17,1,4
6,14,1,5
2,8,13,3
5,1,20,0
21,1,1,3
3,10,0,13
8,4,14,0
19,0,7,0
1,15,4,6
1,0,24,1
6,0,0,20
0,22,0,4
6,4,13,3
0,14,0,12
1,14,1,10
10,13,0,3
16,0,6,4
15,0,10,1
3,0,3,20
3,0,1,22
14,10,0,2
10,3,13,0
1,25,0,0
21,1,4,0
1,0,7,18
0,1,17,8
2,6,4,14
14,7,0,5
18,4,0,4
1,8,17,0
1,1,9,15
19,1,4,2
22,0,4,0
0,1,0,25
6,19,1,0
2,21,0,3
4,9,13,0
0,8,17,1
0,3,15,8
4,17,5,0
6,2,18,0
6,19,1,0
2,5,15,4
16,1,2,7
0,22,0,4
0,2,6,18
0,2,13,11
13,6,4,3
0,26,0,0
1,4,8,13
0,4,21,1
0,0,26,0
0,13,3,10
15,3,8,0
5,8,0,13
4,13,5,4
4,4,18,0
2,4,17,3
5,6,14,1
9,13,4,0
4,1,6,15
0,18,7,1
4,1,17,4
1,0,15,10
14,3,8,1
21,1,4,0
14,7,5,0
3,13,8,2
0,0,9,17
1,24,1,0
7,0,15,4
3,15,2,6
0,19,1,6
2,0,4,20
0,0,1,25
23,0,1,2
0,1,21,4
1,5,16,4
4,18,4,0
0,7,4,15
2,7,1,16
0,25,1,0
8,4,13,1
0,9,0,17
2,16,6,2
1,4,21,0
6,0,2,18
0,1,25,0
4,0,22,0
0,1,6,19
4,17,1,4
16,6,0,4
6,0,20,0
0,1,5,20
3,5,1,17
10,0,13,3
21,0,4,1
4,4,18,0
5,0,4,17
0,1,8,17
0,19,7,0
1,5,0,20
4,14,3,5
3,0,7,16
22,2,2,0
12,13,0,1
5,6,15,0
20,0,2,4
1,0,0,25
0,8,5,13
0,5,17,4
13,7,1,5
3,10,13,0
11,0,1,14
20,3,0,3
20,4,0,2
0,0,13,13
16,0,7,3
0,0,12,14
0,4,14,8
13,0,13,0
0,0,5,21
1,0,19,6
0,4,20,2
15,4,0,7
7,15,4,0
6,5,13,2
0,17,5,4
5,0,0,21
0,6,19,1
7,13,5,1
5,17,0,4
4,3,16,3
1,22,2,1
0,3,19,4
1,2,1,22
10,0,14,2
8,0,17,1
0,5,1,20
0,0,16,10
0,14,12,0
0,1,16,9
1,0,20,5
1,1,9,15
7,15,4,0
2,11,13,0
3,17,0,6
21,0,5,0
3,4,4,15
6,3,1,16
5,0,16,5
23,0,0,3
22,4,0,0
23,0,3,0
5,13,1,7
0,18,0,8
6,14,6,0
0,2,5,19
2,7,17,0
3,0,5,18
8,0,5,13
5,1,6,14
1,2,15,8
0,17,0,9
5,14,3,4
13,13,0,0
24,1,0,1
0,26,0,0
12,13,1,0
4,1,4,17
0,0,21,5
21,1,4,0
0,3,14,9
7,5,0,14
0,1,9,16
5,1,20,0
0,0,1,25
5,15,5,1
0,0,18,8
2,10,1,13
24,1,0,1
5,4,16,1
1,3,6,16
0,0,8,18
9,0,13,4
0,5,21,0
3,19,0,4
10,14,1,1
0,18,4,4
4,0,19,3
0,7,5,14
4,0,18,4
4,0,22,0
0,13,0,13
0,23,1,2
4,20,0,2
0,11,2,13
1,4,20,1
1,1,18,6
14,0,5,7
20,0,5,1
6,14,5,1
4,3,6,13
2,18,0,6
0,13,13,0
4,19,2,1
0,7,15,4
18,8,0,0
4,0,14,8
5,0,20,1
2,0,2,22
5,0,18,3
4,16,0,6
19,4,1,2
5,7,0,14
4,4,14,4
1,0,3,22
1,5,1,19
0,21,0,5
6,0,20,0
3,4,18,1
9,3,14,0
1,2,4,19
1,17,0,8
3,17,6,0
20,4,1,1
4,13,2,7
6,1,19,0
0,18,5,3
6,6,13,1
8,17,0,1
7,17,2,0
24,0,0,2
4,14,3,5
0,5,5,16
0,7,14,5
1,19,4,2
13,5,4,4
7,16,0,3
0,4,22,0
18,8,0,0
4,0,5,17
3,2,13,8
3,9,14,0
0,21,0,5
5,6,15,0
19,3,0,4
18,6,2,0
0,9,0,17
0,4,13,9
4,2,20,0
18,5,0,3
7,14,2,3
17,0,5,4
4,0,1,21
6,0,2,18
4,7,14,1
17,0,5,4
17,1,5,3
0,4,7,15
13,4,5,4
4,4,4,14
7,19,0,0
6,20,0,0
0,21,5,0
10,3,13,0
0,3,23,0
14,6,3,3
4,16,2,4
3,21,1,1
18,0,4,4
17,2,7,0
1,14,0,11
15,1,4,6
4,2,17,3
0,4,2,20
5,0,15,6
0,15,7,4
5,17,0,4
4,4,3,15
0,14,0,12
6,0,17,3
0,5,15,6
1,10,15,0
19,0,5,2
7,0,1,18
1,16,0,9
20,4,1,1
13,1,1,11
13,13,0,0
4,2,1,19
8,3,1,14
0,3,4,19
13,1,9,3
0,0,26,0
9,0,4,13
0,8,0,18
4,14,3,5
0,10,1,15
1,0,0,25
5,3,0,18
2,4,17,3
22,0,4,0
4,2,18,2
9,15,2,0
1,14,11,0
4,18,4,0
7,1,0,18
14,1,11,0
12,0,1,13
9,0,2,15
5,13,8,0
14,7,1,4
0,19,0,7
0,0,10,16
6,2,14,4
0,2,24,0
4,0,18,4
18,1,2,5
23,0,2,1
4,1,21,0
19,0,1,6
9,13,0,4
6,16,2,2
0,0,25,1
13,13,0,0
3,3,4,16
5,8,13,0
1,4,8,13
8,16,0,2
1,11,1,13
20,3,3,0
6,0,7,13
4,13,5,4
22,4,0,0
9,0,4,13
1,20,1,4
21,0,3,2
0,0,18,8
9,16,1,0
0,4,8,14
5,4,0,17
10,0,13,3
21,4,1,0
6,0,20,0
0,0,0,26
4,7,13,2
4,0,22,0
18,4,0,4
0,8,18,0
5,3,15,3
10,1,2,13
4,8,0,14
4,1,7,14
0,13,5,8
2,7,17,0
0,24,1,1
5,17,0,4
20,0,5,1
0,11,14,1
0,22,0,4
9,0,3,14
4,4,18,0
5,1,2,18
17,7,0,2
0,0,14,12
4,1,0,21
22,1,0,3
1,17,8,0
22,4,0,0
6,2,16,2
2,20,0,4
1,18,4,3
1,15,10,0
20,6,0,0
4,5,0,17
0,0,25,1
2,20,4,0
6,3,13,4
20,2,1,3
25,0,0,1
4,4,15,3
9,4,13,0
0,9,4,13
1,4,13,8
15,1,8,2
13,12,0,1
10,0,15,1
6,13,4,3
14,1,0,11
0,15,5,6
0,0,18,8
15,4,0,7
7,13,5,1
0,1,22,3
17,2,3,4
4,0,18,4
6,0,3,17
16,0,2,8
0,6,19,1
7,5,14,0
17,5,4,0
5,1,5,15
1,7,15,3
0,3,19,4
0,5,20,1
5,4,16,1
4,0,22,0
3,18,5,0
0,0,26,0
0,18,7,1
1,14,4,7
3,4,15,4
1,6,0,19
0,0,11,15
5,3,14,4
5,0,17,4
18,4,4,0
2,18,6,0
5,5,1,15
0,1,24,1
3,13,5,5
0,1,16,9
5,17,0,4
0,26,0,0
0,15,7,4
0,0,12,14
10,1,15,0
5,1,0,20
0,17,8,1
6,0,1,19
0,0,26,0
8,0,1,17
6,16,4,0
9,15,0,2
13,0,5,8
18,1,3,4
3,18,1,4
14,8,0,4
4,17,5,0
7,0,4,15
1,1,10,14
4,1,4,17
0,0,25,1
5,0,21,0
8,1,13,4
5,14,4,3
9,17,0,0
5,14,2,5
5,5,14,2
6,0,16,4
12,13,0,1
0,3,5,18
14,2,10,0
18,0,0,8
1,0,21,4
4,1,15,6
5,2,0,19
15,0,7,4
0,0,21,5
0,13,5,8
19,5,1,1
1,13,11,1
10,15,1,0
0,0,26,0
16,1,0,9
1,11,0,14
1,1,13,11
4,4,16,2
13,11,0,2
1,0,21,4
6,15,1,4
21,3,0,2
1,7,0,18
0,4,5,17
2,2,19,3
9,1,16,0
17,4,1,4
0,19,3,4
5,14,1,6
2,0,24,0
0,2,5,19
4,4,18,0
6,1,0,19
20,1,4,1
1,19,3,3
5,1,19,1
0,8,14,4
15,7,0,4
4,18,3,1
0,22,0,4
6,15,4,1
2,14,2,8
0,14,7,5
10,0,0,16
8,1,17,0
13,0,13,0
8,16,0,2
16,10,0,0
10,1,0,15
8,4,0,14
0,21,4,1
5,6,14,1
1,2,18,5
0,4,20,2
3,2,0,21
0,0,2,24
0,17,9,0
1,4,1,20
21,4,0,1
1,12,13,0
5,7,1,13
14,0,7,5
4,16,2,4
0,4,5,17
9,4,0,13
19,0,7,0
1,3,22,0
14,1,11,0
8,13,0,5
0,4,22,0
0,3,23,0
7,4,14,1
0,11,14,1
2,7,1,16
17,0,5,4
5,21,0,0
9,4,13,0
16,0,1,9
17,4,5,0
0,1,3,22
0,0,11,15
5,15,1,5
4,19,2,1
1,8,2,15
4,0,3,19
1,7,13,5
0,7,5,14
0,7,5,14
5,0,8,13
1,14,5,6
25,0,0,1
21,0,4,1
0,1,1,24
10,13,0,3
0,9,1,16
4,7,1,14
3,4,15,4
10,0,16,0
4,18,4,0
0,4,21,1
1,0,20,5
6,5,0,15
0,0,18,8
0,5,0,21
6,7,0,13
1,0,14,11
18,1,3,4
4,5,0,17
19,0,7,0
2,1,23,0
0,0,5,21
19,1,0,6
0,5,2,19
1,21,0,4
16,4,1,5
0,0,22,4
4,8,0,14
3,4,4,15
10,0,1,15
15,5,6,0
16,3,1,6
4,6,16,0
0,24,0,2
20,0,5,1
2,5,19,0
1,8,4,13
0,0,3,23
14,8,3,1
5,4,17,0
23,2,0,1
3,5,5,13
0,8,0,18
18,1,7,0
13,3,0,10
0,0,22,4
0,14,12,0
1,16,0,9
5,5,15,1
7,0,19,0
0,15,7,4
0,22,0,4
0,0,13,13
3,4,3,16
5,1,17,3
1,8,16,1
19,0,2,5
1,5,4,16
2,5,13,6
1,4,8,13
4,19,3,0
0,3,16,7
3,13,0,10
5,0,1,20
5,3,14,4
7,15,0,4
4,2,17,3
0,6,17,3
8,0,18,0
0,7,19,0
0,1,21,4
0,1,0,25
1,24,1,0
13,12,0,1
5,5,13,3
6,20,0,0
8,1,0,17
5,3,0,18
13,3,4,6
2,7,0,17
5,13,4,4
0,1,12,13
1,11,14,0
9,3,0,14
4,16,0,6
4,4,13,5
4,1,21,0
8,0,0,18
0,26,0,0
0,2,0,24
4,0,0,22
0,14,0,12
15,8,0,3
4,0,22,0
0,0,22,4
1,5,0,20
2,0,10,14
20,3,0,3
17,5,2,2
5,0,0,21
1,25,0,0
4,13,2,7
2,14,8,2
1,20,0,5
4,15,3,4
6,6,0,14
3,9,13,1
6,15,5,0
6,0,20,0
6,0,7,13
22,4,0,0
17,0,6,3
3,13,10,0
16,0,0,10
0,2,24,0
0,14,12,0
3,0,4,19
0,18,0,8
1,4,1,20
0,21,4,1
3,9,0,14
4,2,14,6
0,8,1,17
23,0,3,0
0,0,19,7
8,4,14,0
0,14,8,4
0,17,5,4
7,5,0,14
12,0,1,13
13,3,4,6
0,0,16,10
4,17,3,2
21,0,5,0
6,4,0,16
0,3,13,10
4,4,1,17
8,4,1,13
3,4,18,1
0,13,13,0
5,0,20,1
1,3,22,0
0,0,26,0
0,0,26,0
4,5,1,16
9,2,1,14
3,4,13,6
18,4,1,3
7,0,2,17
25,1,0,0
6,18,2,0
18,5,3,0
6,0,15,5
6,0,6,14
1,25,0,0
6,6,14,0
5,5,2,14
7,1,16,2
13,9,1,3
22,4,0,0
0,0,24,2
4,17,4,1
21,3,0,2
4,16,0,6
13,3,4,6
6,15,0,5
0,1,0,25
0,1,8,17
4,15,7,0
2,4,3,17
19,1,6,0
10,3,13,0
15,4,2,5
1,7,14,4
4,1,3,18
1,13,12,0
0,1,18,7
14,2,0,10
0,1,7,18
4,6,0,16
0,4,17,5
0,18,5,3
23,1,1,1
19,1,4,2
4,0,16,6
0,3,15,8
14,4,8,0
1,0,25,0
5,3,18,0
4,0,1,21
7,4,13,2
19,4,3,0
22,4,0,0
11,14,1,0
4,4,5,13
9,0,17,0
5,2,14,5
4,9,0,13
2,0,2,22
0,9,14,3
14,0,1,11
13,1,3,9
7,0,4,15
8,0,18,0
4,1,21,0
0,20,1,5
17,8,1,0
1,25,0,0
14,7,4,1
1,8,17,0
4,3,1,18
9,3,13,1
6,2,1,17
5,16,2,3
6,19,0,1
4,4,17,1
9,13,4,0
3,14,6,3
4,1,16,5
5,4,17,0
4,1,1,20
13,1,0,12
0,13,9,4
23,0,3,0
19,6,0,1
0,13,6,7
6,6,14,0
6,4,3,13
4,1,17,4
13,4,4,5
4,5,3,14
4,0,0,22
17,0,8,1
0,7,14,5
13,8,0,5
0,4,22,0
7,3,16,0
0,13,4,9
1,17,0,8
4,1,21,0
7,0,13,6
2,5,15,4
0,1,18,7
25,1,0,0
8,18,0,0
0,5,3,18
20,3,1,2
5,2,1,18
0,2,11,13
4,22,0,0
0,21,1,4
0,3,23,0
19,2,1,4
0,25,1,0
0,0,17,9
14,4,6,2
0,4,0,22
16,9,0,1
4,1,2,19
0,0,23,3
5,20,0,1
0,0,17,9
0,0,20,6
6,4,16,0
0,0,1,25
3,1,22,0
5,15,3,3
3,5,4,14
4,3,6,13
2,18,2,4
0,4,13,9
4,13,0,9
15,7,4,0
22,1,0,3
1,4,18,3
14,2,4,6
5,0,17,4
8,4,0,14
1,6,6,13
0,5,21,0
0,5,0,21
4,13,5,4
0,0,2,24
1,20,5,0
0,5,21,0
0,4,22,0
3,8,13,2
14,0,8,4
1,19,3,3
0,17,9,0
0,5,21,0
2,6,18,0
13,1,11,1
8,1,0,17
6,3,4,13
13,11,0,2
1,8,17,0
0,23,1,2
12,1,13,0
4,5,17,0
0,16,3,7
6,2,2,16
0,3,21,2
7,4,14,1
0,2,0,24
1,11,0,14
0,13,11,2
8,4,13,1
21,0,5,0
0,25,0,1
4,6,16,0
9,0,13,4
6,5,14,1
4,5,17,0
4,8,0,14
0,2,4,20
14,6,2,4
3,19,0,4
2,19,4,1
4,0,16,6
23,2,0,1
7,3,14,2
3,3,1,19
0,6,5,15
0,5,18,3
2,6,18,0
5,3,0,18
0,3,23,0
0,1,22,3
1,0,25,0
5,1,2,18
1,1,13,11
3,5,4,14
0,0,11,15
0,4,4,18
5,13,4,4
7,0,0,19
1,21,1,3
3,1,18,4
6,2,5,13
22,0,0,4
22,4,0,0
0,19,2,5
16,6,2,2
23,2,1,0
5,4,1,16
25,0,0,1
7,3,16,0
4,1,15,6
2,19,4,1
0,17,8,1
3,19,4,0
