MCTSAgent,Smart Agent 1,Smart Agent 2,Smart Agent 3
17,3,6,0
4,19,1,2
2,6,18,0
2,13,11,0
4,1,18,3
4,22,0,0
7,6,13,0
19,3,0,4
7,13,5,1
1,4,21,0
14,8,1,3
16,3,0,7
0,0,13,13
18,0,7,1
0,0,14,12
18,0,4,4
8,3,13,2
0,2,20,4
9,13,4,0
14,4,3,5
2,13,0,11
0,0,3,23
16,7,0,3
20,0,0,6
8,15,1,2
3,0,22,1
20,2,0,4
0,5,21,0
6,18,1,1
1,4,21,0
0,1,7,18
0,0,18,8
11,15,0,0
22,0,1,3
5,4,4,13
24,1,1,0
0,21,1,4
6,14,1,5
16,6,4,0
13,4,8,1
1,17,4,4
1,24,0,1
0,9,0,17
4,1,21,0
5,14,0,7
0,3,23,0
0,0,10,16
1,0,5,20
13,2,7,4
1,4,1,20
14,3,1,8
7,0,13,6
24,0,1,1
5,0,14,7
16,9,0,1
0,6,19,1
0,11,14,1
8,3,15,0
13,1,9,3
18,6,0,2
21,0,4,1
20,4,1,1
2,6,14,4
5,0,15,6
4,0,3,19
4,0,16,6
1,4,7,14
7,2,0,17
0,8,1,17
7,0,0,19
1,0,1,24
2,24,0,0
0,9,3,14
13,4,2,7
24,0,0,2
4,0,21,1
8,13,2,3
4,1,21,0
4,1,0,21
12,0,14,0
13,2,7,4
16,7,0,3
16,9,0,1
12,1,0,13
0,25,0,1
5,0,7,14
4,0,22,0
5,1,6,14
0,1,8,17
4,5,1,16
0,5,19,2
5,2,0,19
20,0,0,6
0,23,0,3
0,26,0,0
4,8,14,0
0,4,1,21
0,20,0,6
0,0,4,22
13,4,8,1
