MCTSAgent_ANN,MCTSAgent_Basic 1,MCTSAgent_Basic 2,MCTSAgent_Basic 3
9,0,17,0
8,1,0,17
0,17,0,9
2,0,3,21
16,0,10,0
0,0,4,22
2,22,1,1
3,4,15,4
4,2,15,5
20,5,0,1
0,11,2,13
18,0,0,8
3,5,18,0
9,0,13,4
4,1,5,16
4,15,2,5
0,8,18,0
0,2,18,6
3,17,5,1
4,1,0,21
5,17,0,4
3,7,1,15
13,5,0,8
16,7,2,1
5,0,13,8
0,15,4,7
14,7,1,4
14,7,1,4
23,1,0,2
4,0,1,21
14,4,2,6
0,6,20,0
4,19,0,3
4,7,2,13
0,0,6,20
0,7,19,0
4,3,0,19
0,5,1,20
14,1,5,6
0,5,13,8
0,18,7,1
0,1,0,25
4,15,3,4
9,4,0,13
3,0,15,8
14,8,4,0
0,4,16,6
0,0,8,18
8,3,14,1
3,13,1,9
0,4,19,3
8,0,13,5
4,5,3,14
14,0,9,3
4,2,0,20
16,4,6,0
13,6,0,7
4,4,1,17
0,7,0,19
5,4,4,13
5,3,0,18
22,0,0,4
17,1,2,6
0,0,7,19
13,2,4,7
4,0,0,22
4,0,4,18
4,22,0,0
4,5,0,17
6,1,13,6
17,8,1,0
6,0,19,1
0,18,4,4
10,0,13,3
19,0,3,4
5,1,17,3
19,1,1,5
4,1,21,0
2,2,14,8
16,9,1,0
4,4,0,18
22,4,0,0
0,7,0,19
0,5,4,17
16,0,4,6
20,5,0,1
5,0,6,15
20,0,2,4
3,4,15,4
7,0,3,16
3,0,13,10
1,2,16,7
13,10,0,3
18,0,7,1
17,4,1,4
20,1,0,5
10,0,13,3
1,0,24,1
2,3,7,14
5,7,1,13
0,14,7,5
4,18,0,4
11,0,13,2
8,0,18,0
0,4,0,22
4,5,17,0
1,21,0,4
6,0,6,14
1,17,4,4
7,15,4,0
18,7,1,0
0,8,0,18
3,4,1,18
10,13,3,0
14,1,5,6
0,14,6,6
4,3,13,6
2,8,16,0
13,2,11,0
2,6,17,1
20,0,6,0
6,17,2,1
0,9,0,17
4,3,0,19
5,5,13,3
7,0,1,18
12,1,13,0
7,19,0,0
4,0,9,13
8,0,16,2
6,6,0,14
9,13,0,4
0,14,11,1
1,11,1,13
13,5,7,1
7,0,6,13
5,0,17,4
8,17,1,0
5,8,0,13
0,5,18,3
0,15,7,4
14,6,6,0
20,0,4,2
13,1,7,5
3,0,6,17
18,5,3,0
0,0,4,22
3,14,5,4
13,0,8,5
4,15,1,6
3,8,0,15
16,0,6,4
17,0,8,1
9,13,3,1
19,0,7,0
2,16,4,4
1,17,6,2
4,6,3,13
10,2,1,13
0,0,24,2
13,8,4,1
19,6,1,0
7,16,3,0
13,1,10,2
20,1,1,4
7,13,5,1
0,0,22,4
18,0,6,2
4,21,0,1
1,7,17,1
14,5,4,3
15,0,8,3
0,0,19,7
6,13,1,6
15,0,5,6
5,7,14,0
4,13,5,4
8,1,4,13
4,7,0,15
3,5,4,14
18,6,2,0
5,0,7,14
3,4,14,5
7,6,13,0
4,1,17,4
0,15,0,11
16,2,0,8
6,13,0,7
6,14,5,1
0,21,4,1
3,3,13,7
4,14,4,4
0,3,3,20
1,0,7,18
16,0,7,3
0,4,18,4
17,5,0,4
17,0,4,5
0,1,13,12
0,22,4,0
5,14,7,0
16,4,0,6
0,24,2,0
18,4,4,0
17,0,9,0
0,20,0,6
5,8,13,0
0,3,15,8
19,7,0,0
14,5,3,4
4,0,17,5
18,4,0,4
13,4,0,9
13,4,5,4
0,6,1,19
4,0,18,4
17,4,1,4
7,13,4,2
14,2,6,4
0,11,2,13
13,2,11,0
0,5,4,17
15,7,0,4
0,6,20,0
0,13,8,5
1,3,18,4
0,3,19,4
6,4,0,16
0,15,10,1
4,0,14,8
15,0,7,4
0,15,0,11
0,7,13,6
0,0,6,20
0,5,4,17
15,10,0,1
8,4,0,14
0,4,2,20
23,3,0,0
17,5,4,0
4,0,0,22
18,7,1,0
21,2,0,3
4,0,9,13
6,13,6,1
3,6,13,4
4,4,0,18
0,15,5,6
0,8,13,5
3,19,4,0
1,23,2,0
2,1,13,10
4,4,5,13
13,8,1,4
1,0,12,13
6,13,0,7
5,7,13,1
13,5,8,0
7,5,13,1
4,4,3,15
4,4,4,14
21,1,4,0
0,15,1,10
2,6,13,5
12,0,14,0
17,5,4,0
3,13,10,0
20,0,0,6
8,1,0,17
17,0,5,4
17,1,1,7
13,12,0,1
7,2,0,17
2,5,19,0
0,20,2,4
3,0,3,20
13,5,5,3
3,18,5,0
19,3,0,4
7,1,3,15
4,0,3,19
9,0,17,0
14,6,1,5
0,13,8,5
13,9,0,4
0,8,14,4
19,7,0,0
2,1,7,16
5,13,0,8
3,2,1,20
4,14,7,1
20,6,0,0
0,14,2,10
13,2,4,7
7,0,15,4
13,2,4,7
0,4,5,17
0,19,0,7
0,18,6,2
4,22,0,0
8,1,0,17
0,0,26,0
0,3,14,9
0,18,7,1
1,0,4,21
3,4,13,6
21,0,1,4
0,0,4,22
14,3,8,1
0,7,0,19
4,18,4,0
1,5,13,7
3,5,0,18
13,10,0,3
7,17,0,2
1,13,12,0
1,0,4,21
0,12,13,1
10,0,3,13
6,1,13,6
0,3,0,23
3,19,0,4
19,0,0,7
4,13,9,0
13,1,5,7
7,3,2,14
8,14,4,0
0,0,26,0
0,5,7,14
7,2,13,4
4,0,6,16
9,2,1,14
0,0,26,0
8,0,13,5
2,13,4,7
1,15,4,6
5,13,3,5
5,16,3,2
6,13,3,4
2,6,13,5
15,7,0,4
0,0,20,6
4,0,15,7
0,4,8,14
5,5,3,13
6,0,18,2
17,4,1,4
6,6,13,1
6,1,0,19
9,4,13,0
4,13,2,7
0,4,13,9
4,0,16,6
8,5,0,13
10,0,13,3
0,20,0,6
4,13,4,5
3,4,18,1
4,14,8,0
0,9,3,14
7,0,5,14
4,1,17,4
13,4,6,3
3,14,5,4
1,2,5,18
3,0,19,4
9,4,13,0
4,17,0,5
1,16,4,5
5,2,4,15
3,1,2,20
18,1,3,4
1,0,17,8
6,1,0,19
8,4,0,14
0,17,3,6
4,15,3,4
4,13,3,6
10,2,0,14
13,2,5,6
9,4,13,0
5,4,13,4
1,14,8,3
0,5,18,3
18,2,5,1
5,1,13,7
5,5,16,0
4,0,9,13
4,5,4,13
13,4,1,8
3,5,0,18
5,6,0,15
1,17,4,4
16,4,5,1
23,0,0,3
4,1,19,2
17,4,5,0
3,0,4,19
0,5,18,3
1,20,3,2
22,0,0,4
15,0,5,6
19,0,0,7
7,13,6,0
0,0,26,0
5,4,4,13
0,15,5,6
4,21,1,0
17,0,0,9
20,0,6,0
4,0,3,19
3,4,13,6
4,15,3,4
4,0,18,4
0,20,5,1
3,15,1,7
2,5,0,19
22,4,0,0
0,13,6,7
0,0,9,17
17,5,0,4
2,4,20,0
7,14,1,4
8,0,1,17
0,15,1,10
9,0,0,17
19,4,2,1
7,16,1,2
13,10,0,3
13,7,0,6
3,4,18,1
3,1,0,22
6,2,4,14
0,3,4,19
0,17,8,1
15,7,4,0
1,6,15,4
13,5,7,1
15,4,3,4
0,9,0,17
2,1,4,19
13,1,8,4
1,5,0,20
18,5,0,3
3,23,0,0
16,5,5,0
13,5,5,3
4,0,16,6
24,0,2,0
16,4,3,3
8,1,13,4
9,0,13,4
4,9,13,0
5,15,6,0
4,17,5,0
5,0,13,8
1,10,15,0
18,8,0,0
8,18,0,0
4,0,3,19
17,5,0,4
