MCTSAgent_ANN,MCTSAgent_Basic 1,MCTSAgent_Basic 2,MCTSAgent_Basic 3
13,4,5,4
0,4,14,8
12,13,1,0
0,2,24,0
13,7,4,2
2,4,19,1
14,3,7,2
2,13,5,6
4,22,0,0
2,0,11,13
0,8,14,4
14,4,0,8
15,0,11,0
8,5,0,13
0,13,0,13
10,0,2,14
0,16,6,4
5,0,4,17
3,5,18,0
1,16,7,2
18,0,7,1
19,0,2,5
5,4,0,17
0,0,0,26
0,0,13,13
4,22,0,0
20,0,2,4
4,3,18,1
7,14,1,4
15,1,5,5
5,0,13,8
0,4,6,16
16,4,6,0
3,1,13,9
6,17,0,3
4,5,0,17
6,5,15,0
15,2,5,4
0,8,5,13
13,0,12,1
17,8,1,0
0,9,4,13
14,0,12,0
18,4,4,0
0,8,14,4
14,0,6,6
1,2,17,6
14,0,2,10
18,5,3,0
14,6,6,0
0,4,0,22
1,5,0,20
4,7,15,0
15,8,3,0
5,1,20,0
0,16,6,4
1,0,11,14
7,17,0,2
9,15,2,0
0,10,0,16
0,6,20,0
5,13,8,0
8,0,17,1
9,13,3,1
13,0,4,9
0,7,1,18
5,0,8,13
0,1,25,0
4,18,4,0
16,0,6,4
1,4,3,18
1,23,2,0
3,1,0,22
0,13,2,11
2,18,1,5
6,1,13,6
1,2,17,6
20,0,6,0
