MCTSAgent_Smart,SmartAgent 1,SmartAgent 2,SmartAgent 3
18,5,0,3
0,21,1,4
0,19,3,4
4,9,13,0
11,15,0,0
6,0,14,6
19,1,0,6
4,0,0,22
7,4,13,2
0,0,13,13
0,7,14,5
4,19,2,1
8,13,1,4
21,3,2,0
21,0,0,5
14,9,0,3
6,5,13,2
1,6,14,5
7,2,4,13
5,5,13,3
8,0,18,0
25,0,1,0
0,13,11,2
4,22,0,0
2,24,0,0
1,14,11,0
17,0,0,9
4,8,1,13
1,16,9,0
19,1,0,6
3,4,19,0
3,23,0,0
18,0,4,4
5,4,0,17
20,1,4,1
0,25,1,0
19,1,0,6
14,2,10,0
0,8,17,1
13,0,3,10
0,7,6,13
4,15,4,3
8,17,1,0
3,1,18,4
9,0,17,0
7,4,2,13
2,18,0,6
0,3,23,0
1,0,25,0
1,25,0,0
0,9,4,13
4,4,18,0
10,0,16,0
2,2,4,18
20,5,1,0
9,17,0,0
17,2,2,5
0,2,10,14
5,4,16,1
13,8,1,4
1,6,19,0
1,4,4,17
1,23,1,1
3,17,6,0
4,0,4,18
4,3,18,1
1,13,0,12
2,15,8,1
0,2,14,10
0,4,22,0
0,2,24,0
16,4,6,0
1,0,24,1
17,3,2,4
14,0,0,12
3,2,4,17
17,6,0,3
6,3,2,15
0,17,4,5
8,16,0,2
4,14,2,6
7,14,0,5
19,2,1,4
10,15,0,1
0,18,2,6
4,0,0,22
21,1,2,2
5,0,17,4
0,2,13,11
0,0,0,26
8,0,17,1
4,8,13,1
3,0,6,17
10,15,0,1
1,0,0,25
8,13,3,2
6,17,2,1
2,1,21,2
3,0,1,22
13,1,12,0
5,0,1,20
2,1,23,0
5,4,0,17
4,0,16,6
0,21,1,4
15,1,6,4
4,19,2,1
0,0,13,13
14,0,8,4
1,15,0,10
9,13,4,0
18,1,4,3
8,17,0,1
0,0,2,24
0,0,19,7
17,7,2,0
15,1,4,6
0,0,25,1
1,8,0,17
7,0,15,4
0,6,1,19
4,0,4,18
17,6,0,3
22,4,0,0
1,3,18,4
16,3,6,1
20,0,4,2
0,0,4,22
6,6,1,13
4,17,4,1
6,0,3,17
5,4,16,1
3,14,8,1
15,0,2,9
6,5,2,13
0,5,18,3
1,3,22,0
0,18,8,0
7,0,0,19
20,4,1,1
11,1,13,1
4,14,8,0
1,9,0,16
0,5,8,13
0,0,26,0
1,13,0,12
5,0,15,6
7,0,19,0
5,15,5,1
6,0,1,19
0,0,20,6
0,21,1,4
9,0,0,17
4,5,4,13
0,3,23,0
13,7,4,2
0,5,17,4
1,16,4,5
7,6,0,13
1,6,0,19
1,22,0,3
1,25,0,0
2,16,8,0
7,4,0,15
1,4,21,0
1,17,4,4
0,0,22,4
15,5,0,6
0,22,4,0
7,16,0,3
2,20,0,4
13,1,4,8
6,0,1,19
0,21,1,4
8,18,0,0
0,0,22,4
0,18,4,4
1,17,8,0
7,3,13,3
1,19,6,0
3,0,18,5
21,0,4,1
0,0,22,4
7,0,15,4
18,2,0,6
5,2,0,19
21,0,5,0
15,1,10,0
6,16,4,0
0,21,4,1
1,1,8,16
16,1,9,0
15,7,0,4
6,3,13,4
5,4,0,17
7,13,0,6
0,1,18,7
0,0,6,20
1,20,1,4
2,0,19,5
5,0,21,0
0,2,24,0
4,18,0,4
0,22,4,0
4,3,2,17
5,13,7,1
17,0,9,0
5,0,21,0
0,5,20,1
8,18,0,0
0,4,0,22
25,0,1,0
4,0,3,19
4,0,22,0
0,3,5,18
1,0,12,13
2,10,0,14
10,13,3,0
4,0,0,22
4,17,4,1
2,5,6,13
0,21,1,4
18,0,2,6
6,4,13,3
0,9,0,17
8,1,16,1
6,0,18,2
